feature,mean_abs_shap,percent_contribution
REPORT_TYPE,1.2477682462558501,26.93
NUM_UNITS,0.6219629138106519,13.42
DAMAGE,0.5098981317092769,11.01
POSTED_SPEED_LIMIT,0.38459160925672153,8.3
INTERSECTION_RELATED_I,0.35938140070576124,7.76
FIRST_CRASH_TYPE,0.2869753857483363,6.19
LOCATION_CLUSTER,0.2786887473590876,6.02
TRAFFICWAY_TYPE,0.19024385760239323,4.11
PRIM_CONTRIBUTORY_CAUSE,0.14966479191977977,3.23
LIGHTING_CONDITION,0.11518918046967017,2.49
SEC_CONTRIBUTORY_CAUSE,0.10007123118352894,2.16
CRASH_TIME_OF_DAY,0.08228560181570262,1.78
CRASH_HOUR,0.06600161593376058,1.42
DEVICE_CONDITION,0.055939509901074075,1.21
WEATHER_CONDITION,0.03830087871950206,0.83
CRASH_MONTH,0.03492114611524509,0.75
TRAFFIC_CONTROL_DEVICE,0.03358368021485343,0.72
ROADWAY_SURFACE_COND,0.031466439660410774,0.68
CRASH_DAY_OF_WEEK,0.024864574469895505,0.54
ROAD_DEFECT,0.02133887280875409,0.46
